year, normalized rate
1966,0
1971,-0.007142857142857143
1972,0.0
1974,0.02857142857142857
1976,0.0
1979,0.0
1982,0.0
1983,0.0
1984,0.02142857142857143
1985,-0.009523809523809523
1986,0.02142857142857143
1987,-0.009523809523809523
1988,0.4285714285714286
1989,-0.02142857142857143
1990,-0.009523809523809523
1991,0.2857142857142857
1992,-0.011428571428571429
1993,0.1607142857142857
1994,-0.031746031746031744
1995,0.0
1996,-0.010714285714285714
1997,0.08571428571428572
1998,-0.011904761904761904
1999,0.04000000000000001
2000,-0.012244897959183673
2001,0.02857142857142857
2002,0.0
2003,0.02142857142857143
2004,-0.009523809523809523
2005,0.02142857142857143
2006,0.08571428571428572
2007,0.09523809523809523
2008,-0.03428571428571429
2009,0.0
2010,-0.019047619047619046
2011,0.17142857142857143
2012,0.26666666666666666
2013,0.03265306122448979
2014,-0.03482142857142857
2015,3.7142857142857144
2016,0.07692307692307693
