year, total
1970,450
1971,235
1972,63
1973,54
1974,75
1975,141
1976,103
1977,121
1978,55
1979,49
1980,52
1981,54
1982,60
1983,40
1984,57
1985,35
1986,31
1987,27
1988,20
1989,35
1990,27
1991,24
1992,31
1994,55
1995,59
1996,35
1997,39
1998,27
1999,53
2000,32
2001,40
2002,33
2003,33
2004,9
2005,21
2006,6
2007,8
2008,18
2009,11
2010,17
2011,10
2012,20
2013,20
2014,29
2015,38
2016,64
